Date/Time,Type,Mode_of_Communication,Patron type,Details,Location
2/18/15 11:34,Service,In Person,Undergrad,,San Francisco
2/18/15 12:34,Service,In Person,,,Oakland
2/18/15 13:27,Service,In Person,,,Oakland
2/18/15 13:51,Service,Phone,Grad Student,,San Francisco
2/18/15 13:51,Directional,In Person,Faculty,,San Francisco
2/18/15 12:03,Service,In Person,Undergrad,,San Francisco
2/18/15 13:56,Directional,In Person,Faculty,,San Francisco
2/18/15 15:10,Technical/Computing,In Person,Undergrad,Printing,San Francisco
2/18/15 15:30,Directional,In Person,Undergrad,,San Francisco
2/18/15 17:42,Service,In Person,Grad Student,,San Francisco
2/18/15 17:42,Directional,In Person,Grad Student,,San Francisco
2/18/15 17:43,Service,Phone,Grad Student,,San Francisco
2/18/15 17:56,Technical/Computing,In Person,Grad Student,,San Francisco
2/18/15 18:35,Service,In Person,Faculty,,Oakland
2/18/15 18:51,Directional,In Person,Alumni,,San Francisco
2/18/15 19:51,Service,In Person,Faculty,,San Francisco
2/19/15 10:30,Directional,In Person,,,Oakland
2/19/15 11:56,Directional,In Person,Grad Student,,San Francisco
2/19/15 13:56,Technical/Computing,In Person,,Printing,Oakland
2/19/15 15:43,Reference,In Person,Undergrad,,Oakland
2/19/15 15:54,Directional,In Person,Undergrad,,San Francisco
2/19/15 15:54,Service,In Person,Faculty,,San Francisco
2/19/15 15:55,Service,In Person,Grad Student,,San Francisco
2/19/15 15:56,Service,Email,general public,,San Francisco
2/19/15 16:10,Service,In Person,Faculty,,San Francisco
2/19/15 16:43,Directional,In Person,,,Oakland
2/19/15 18:01,Service,Email,Faculty,,San Francisco
2/19/15 19:31,Technical/Computing,In Person,Undergrad,Printing,Oakland
2/20/15 8:48,Technical/Computing,In Person,Undergrad,Printing,Oakland
2/20/15 10:36,Service,Email,Faculty,VAULT,Online
2/20/15 10:45,Service,In Person,Grad Student,Printing,San Francisco
2/20/15 10:49,Technical/Computing,In Person,,Printing,Oakland
2/20/15 11:56,Reference,In Person,Undergrad,,San Francisco
2/20/15 11:56,Reference,In Person,Undergrad,,Oakland
2/20/15 12:00,Service,In Person,Undergrad,Printing,San Francisco
2/20/15 14:35,Service,In Person,Undergrad,,San Francisco
2/23/15 14:30,Service,In Person,,,Oakland
2/22/15 14:18,Service,In Person,Grad Student,,San Francisco
2/22/15 14:18,Service,In Person,Undergrad,,San Francisco
2/22/15 14:20,Service,In Person,Grad Student,,San Francisco
2/22/15 14:51,Service,In Person,Undergrad,,San Francisco
2/22/15 15:02,Service,In Person,Grad Student,,San Francisco
2/22/15 15:12,Directional,In Person,Undergrad,,San Francisco
2/22/15 15:20,Service,In Person,Alumni,,San Francisco
2/22/15 15:25,Service,In Person,Undergrad,,San Francisco
2/22/15 15:29,Service,In Person,Undergrad,,San Francisco
2/22/15 17:16,Service,In Person,Undergrad,,San Francisco
2/22/15 17:16,Service,In Person,Grad Student,,San Francisco
2/22/15 17:17,Service,In Person,Undergrad,,San Francisco
2/22/15 18:01,Service,In Person,Undergrad,,Oakland
2/23/15 9:17,Directional,In Person,Undergrad,,Oakland
2/23/15 9:23,Service,In Person,Grad Student,,San Francisco
2/23/15 10:07,Service,Email,Faculty,,Online
2/23/15 10:10,Technical/Computing,Email,Grad Student,,Online
2/23/15 10:33,Service,Phone,Grad Student,,Oakland
2/23/15 10:35,Directional,Email,vendor,,Oakland
2/23/15 11:19,Service,Phone,Faculty,,San Francisco
2/23/15 11:23,Directional,In Person,Grad Student,,San Francisco
2/23/15 12:05,Directional,In Person,Undergrad,,San Francisco
2/23/15 12:45,Service,In Person,Undergrad,,San Francisco
2/23/15 12:45,Directional,In Person,Undergrad,,San Francisco
2/23/15 13:39,Service,In Person,,,Oakland
2/23/15 13:44,Service,In Person,Undergrad,,San Francisco
2/23/15 14:09,Service,In Person,Undergrad,,San Francisco
2/23/15 14:33,Service,In Person,Undergrad,,San Francisco
2/23/15 15:30,Service,In Person,Undergrad,,Oakland
2/23/15 15:48,Reference,In Person,Undergrad,,Oakland
2/23/15 16:52,Service,In Person,Undergrad,,San Francisco
2/23/15 16:52,Directional,In Person,Undergrad,,San Francisco
2/23/15 18:38,Reference,In Person,Undergrad,,Oakland
2/23/15 18:43,Reference,In Person,Undergrad,,Oakland
2/23/15 19:37,Technical/Computing,In Person,,,Oakland
2/23/15 20:00,Technical/Computing,In Person,Undergrad,,Oakland
2/23/15 21:28,Technical/Computing,In Person,Undergrad,,Oakland
2/23/15 21:32,Directional,In Person,Undergrad,,Oakland
2/23/15 21:38,Directional,In Person,Undergrad,,Oakland
2/24/15 9:22,Directional,In Person,Undergrad,,San Francisco
2/24/15 9:23,Service,In Person,Undergrad,,San Francisco
2/24/15 9:23,Service,Email,Grad Student,,San Francisco
2/24/15 9:33,Service,In Person,Undergrad,,Oakland
2/24/15 9:33,Technical/Computing,In Person,Undergrad,Printing,Oakland
2/24/15 9:36,Directional,In Person,Undergrad,,San Francisco
2/24/15 9:47,Service,In Person,Grad Student,,San Francisco
2/24/15 11:32,Service,Phone,Alumni,,Oakland
2/24/15 11:47,Service,In Person,Undergrad,,Oakland
2/24/15 11:49,Reference,In Person,Faculty,,Oakland
2/24/15 11:56,Service,In Person,Faculty,,San Francisco
2/24/15 12:22,Service,In Person,Undergrad,,San Francisco
2/24/15 13:14,Service,In Person,Faculty,,San Francisco
2/24/15 14:04,Reference,In Person,Undergrad,,San Francisco
2/24/15 15:01,Technical/Computing,In Person,Undergrad,,San Francisco
2/24/15 15:36,Service,In Person,Faculty,,San Francisco
2/24/15 15:58,Directional,In Person,Grad Student,,San Francisco
2/24/15 17:28,Technical/Computing,In Person,,,Oakland
2/24/15 17:28,Technical/Computing,In Person,,,Oakland
2/24/15 17:51,Reference,In Person,Undergrad,,San Francisco
2/24/15 19:05,Service,In Person,Undergrad,,Oakland
2/25/15 10:00,Service,Phone,Grad Student,,Oakland
2/25/15 12:04,Service,In Person,Undergrad,,San Francisco
2/24/15 18:34,Service,In Person,Grad Student,Printing,San Francisco
2/25/15 12:27,Directional,In Person,Undergrad,,San Francisco
2/25/15 12:35,Directional,In Person,Faculty,,Oakland
2/25/15 12:43,Reference,In Person,Grad Student,,San Francisco
2/25/15 13:38,Technical/Computing,In Person,Undergrad,Printing,Oakland
2/25/15 13:43,Technical/Computing,In Person,,Printing,Oakland
2/25/15 13:45,Directional,In Person,Undergrad,,San Francisco
2/25/15 15:10,Service,In Person,Grad Student,Printing,San Francisco
2/25/15 15:52,Directional,In Person,Undergrad,,San Francisco
2/25/15 16:22,Service,In Person,Grad Student,,San Francisco
2/25/15 15:58,Directional,In Person,Undergrad,,San Francisco
2/25/15 19:15,Service,In Person,Undergrad,Printing,San Francisco
2/25/15 20:52,Technical/Computing,In Person,Undergrad,,Oakland
2/25/15 20:53,Service,Phone,,,Oakland
2/26/15 9:24,Directional,In Person,Undergrad,Printing,Oakland
2/26/15 9:43,Directional,In Person,,Printing,Oakland
2/26/15 11:21,Directional,In Person,Undergrad,,San Francisco
2/26/15 11:38,Service,Phone,Grad Student,,San Francisco
2/26/15 12:23,Technical/Computing,In Person,,,Oakland
2/26/15 13:08,Service,Phone,Faculty,,San Francisco
2/26/15 15:40,Service,In Person,Undergrad,,Oakland
2/26/15 15:25,Service,In Person,Undergrad,,Oakland
2/16/15 16:00,Directional,In Person,Undergrad,,Oakland
2/26/15 16:00,Service,In Person,,,Oakland
2/26/15 16:15,Directional,In Person,,,Oakland
2/26/15 16:15,Directional,In Person,,,Oakland
2/26/15 17:04,Directional,In Person,Undergrad,,San Francisco
2/26/15 18:28,Directional,In Person,Undergrad,,San Francisco
2/27/15 9:01,Technical/Computing,In Person,Undergrad,Printing,Oakland
2/27/15 9:12,Technical/Computing,In Person,Undergrad,,Oakland
2/27/15 9:36,Directional,In Person,,,Oakland
2/27/15 12:42,Directional,In Person,,,Oakland
2/27/15 13:24,Service,Phone,,,Oakland
2/27/15 13:57,Directional,In Person,Undergrad,,Oakland
2/27/15 13:57,Service,In Person,,,Oakland
2/27/15 15:06,Technical/Computing,In Person,,Printing,Oakland
2/27/15 15:07,Technical/Computing,In Person,,Printing,Oakland
2/27/15 15:21,Reference,In Person,,,Oakland
2/27/15 15:57,Service,In Person,Undergrad,,San Francisco
2/27/15 15:19,Service,In Person,,Printing,Oakland
2/27/15 16:26,Directional,In Person,Undergrad,,San Francisco
3/1/15 15:49,Directional,In Person,Undergrad,,San Francisco
3/1/15 15:50,Service,In Person,Undergrad,,San Francisco
3/1/15 17:46,Technical/Computing,In Person,Undergrad,,Oakland
3/1/15 20:16,Technical/Computing,In Person,,,Oakland
3/2/15 8:11,Reference,Email,Grad Student,,Online
3/2/15 9:26,Service,Email,Undergrad,VAULT,Online
3/2/15 9:33,Technical/Computing,In Person,Undergrad,,Oakland
3/2/15 10:34,Directional,In Person,Undergrad,,San Francisco
3/2/15 10:55,Service,In Person,Faculty,,San Francisco
3/2/15 10:58,Service,Email,Faculty,VAULT,Online
3/2/15 11:19,Service,In Person,Undergrad,,San Francisco
3/2/15 12:06,Directional,In Person,Undergrad,,San Francisco
3/2/15 13:16,Directional,In Person,Faculty,,San Francisco
3/2/15 13:52,Service,In Person,Undergrad,Materials Library,San Francisco
3/2/15 14:19,Service,Email,Staff,VAULT,Online
3/2/15 11:00,Technical/Computing,In Person,Undergrad,Printing,Oakland
3/2/15 14:20,Technical/Computing,In Person,Undergrad,Printing,Oakland
3/2/15 14:36,Directional,In Person,Undergrad,,San Francisco
3/2/15 14:36,Directional,In Person,Undergrad,,San Francisco
3/2/15 14:59,Service,In Person,Undergrad,,Oakland
3/2/15 12:30,Service,In Person,Undergrad,,Oakland
3/2/15 15:45,Service,In Person,Undergrad,Archives Consultation,Oakland
3/2/15 15:46,Directional,In Person,Undergrad,,Oakland
3/2/15 16:40,Technical/Computing,In Person,Undergrad,Printing,Oakland
3/2/15 17:14,Technical/Computing,In Person,,,Oakland
3/2/15 18:35,Reference,In Person,Undergrad,,Oakland
3/2/15 19:21,Directional,In Person,,,Oakland
3/2/15 19:21,Reference,In Person,,,Oakland
3/2/15 19:48,Reference,In Person,,,Oakland
3/2/15 19:53,Reference,In Person,,,Oakland
3/3/15 9:43,Service,Email,Staff,VAULT,Online
3/3/15 10:06,Technical/Computing,In Person,Undergrad,Printing,San Francisco
3/3/15 10:19,Service,"Other (SMS, Chat)",Faculty,VAULT,Online
3/3/15 10:32,Directional,In Person,Faculty,,San Francisco
3/3/15 10:37,Technical/Computing,In Person,,Printing,Oakland
3/3/15 10:38,Service,In Person,,,Oakland
3/3/15 11:05,Service,In Person,Undergrad,,San Francisco
3/3/15 11:05,Directional,In Person,Undergrad,,San Francisco
3/3/15 11:38,Technical/Computing,In Person,,Printing,Oakland
3/3/15 11:38,Service,In Person,Undergrad,,Oakland
3/3/15 11:51,Service,In Person,Faculty,,Oakland
3/3/15 12:14,Service,In Person,Grad Student,,San Francisco
3/3/15 12:14,Service,In Person,Grad Student,,San Francisco
3/3/15 12:29,Technical/Computing,In Person,Undergrad,,San Francisco
3/3/15 12:29,Technical/Computing,In Person,Undergrad,,San Francisco
3/3/15 13:23,Service,In Person,Undergrad,,San Francisco
3/3/15 14:59,Service,In Person,Faculty,,San Francisco
3/3/15 15:58,Technical/Computing,In Person,Undergrad,Printing,San Francisco
3/3/15 16:32,Directional,In Person,Staff,,San Francisco
3/3/15 16:47,Service,In Person,Grad Student,Printing,San Francisco
3/3/15 15:35,Directional,In Person,Undergrad,,San Francisco
3/3/15 17:32,Service,Email,Faculty,VAULT,Online
3/3/15 19:40,Service,In Person,Undergrad,,San Francisco
3/4/15 9:52,Directional,In Person,Grad Student,,San Francisco
3/4/15 10:01,Service,In Person,Faculty,,San Francisco
3/4/15 10:20,Service,Email,Grad Student,,San Francisco
3/4/15 13:13,Reference,In Person,Faculty,,Oakland
3/4/15 14:08,Service,In Person,Faculty,,San Francisco
3/4/15 15:40,Reference,In Person,Undergrad,,Oakland
3/4/15 15:40,Service,In Person,Grad Student,,San Francisco
3/4/15 16:32,Reference,In Person,Undergrad,,Oakland
3/4/15 18:25,Service,In Person,Undergrad,Printing,San Francisco
3/4/15 13:10,Directional,In Person,Undergrad,,San Francisco
3/4/15 16:30,Service,In Person,Undergrad,Printing,San Francisco
3/4/15 17:16,Service,In Person,Grad Student,,San Francisco
3/4/15 18:38,Service,In Person,Grad Student,Printing,San Francisco
3/4/15 19:01,Service,In Person,Undergrad,Printing,San Francisco
3/4/15 19:05,Reference,In Person,,,Oakland
3/4/15 20:05,Directional,In Person,Faculty,,Oakland
3/4/15 21:38,Technical/Computing,In Person,Undergrad,,Oakland
3/5/15 8:45,Service,Email,Grad Student,,Online
3/5/15 9:05,Technical/Computing,In Person,,,Oakland
3/5/15 8:15,Technical/Computing,In Person,,,Oakland
3/5/15 9:34,Service,In Person,Undergrad,,San Francisco
3/5/15 9:35,Technical/Computing,In Person,Faculty,Printing,Oakland
3/5/15 9:36,Technical/Computing,In Person,Faculty,Printing,Oakland
3/5/15 9:36,Technical/Computing,In Person,Undergrad,,Oakland
3/5/15 9:36,Service,In Person,Alumni,,Oakland
3/5/15 11:36,Directional,In Person,,,Oakland
3/5/15 12:34,Directional,In Person,Undergrad,,San Francisco
3/5/15 13:24,Service,Email,Faculty,VAULT,Online
3/5/15 14:18,Reference,In Person,Staff,,Oakland
3/5/15 14:48,Technical/Computing,In Person,Undergrad,Printing,Oakland
3/5/15 14:59,Technical/Computing,In Person,Undergrad,Printing,Oakland
3/5/15 15:35,Service,In Person,,,Oakland
3/5/15 15:45,Service,In Person,Undergrad,,Oakland
3/5/15 15:46,Service,Email,Faculty,,San Francisco
3/5/15 16:01,Directional,In Person,,,Oakland
3/5/15 16:06,Service,In Person,Undergrad,,San Francisco
3/5/15 16:42,Directional,In Person,Undergrad,,San Francisco
3/5/15 16:43,Service,In Person,Alumni,,San Francisco
3/5/15 12:50,Service,In Person,Staff,,San Francisco
3/5/15 14:11,Directional,In Person,Undergrad,,San Francisco
3/5/15 17:57,Directional,In Person,,,Oakland
3/5/15 18:26,Directional,In Person,Grad Student,,San Francisco
3/6/15 12:27,Technical/Computing,In Person,Faculty,Printing,San Francisco
3/6/15 12:52,Service,In Person,Undergrad,,Oakland
3/6/15 14:54,Technical/Computing,Email,Undergrad,VAULT,Online
3/6/15 15:17,Directional,In Person,,,Oakland
3/6/15 16:27,Reference,In Person,Undergrad,,Oakland
3/7/15 16:43,Service,In Person,Grad Student,,San Francisco
3/7/15 16:44,Directional,In Person,Undergrad,,San Francisco
3/7/15 16:56,Reference,In Person,art+feminism,,Oakland
3/7/15 16:56,Reference,In Person,art+feminism,,Oakland
3/8/15 15:26,Technical/Computing,In Person,Undergrad,Printing,Oakland
3/9/15 10:09,Service,Email,Faculty,,San Francisco
3/9/15 10:32,Directional,In Person,Grad Student,,San Francisco
3/9/15 10:43,Directional,Phone,salesperson,,San Francisco
3/9/15 11:20,Service,Email,Faculty,,Online
3/9/15 13:57,Directional,In Person,Undergrad,,San Francisco
3/9/15 14:03,Reference,In Person,Undergrad,,Oakland
3/9/15 14:04,Reference,In Person,Undergrad,,Oakland
3/9/15 14:25,Service,In Person,Undergrad,,Oakland
3/9/15 14:40,Service,In Person,Undergrad,Printing,San Francisco
3/9/15 14:40,Service,In Person,Undergrad,,San Francisco
3/9/15 14:40,Service,In Person,Undergrad,,San Francisco
3/9/15 14:40,Directional,In Person,Undergrad,,San Francisco
3/9/15 14:42,Directional,In Person,Undergrad,,San Francisco
3/9/15 15:00,Technical/Computing,Email,Faculty,VAULT,Online
3/9/15 15:17,Service,In Person,Grad Student,,San Francisco
3/9/15 15:20,Directional,In Person,Undergrad,,San Francisco
3/9/15 15:20,Service,In Person,Undergrad,,San Francisco
3/9/15 15:47,Service,In Person,Undergrad,Printing,San Francisco
3/9/15 15:48,Service,In Person,Undergrad,,San Francisco
3/9/15 16:09,Reference,In Person,Undergrad,,San Francisco
3/9/15 19:25,Technical/Computing,In Person,Undergrad,,Oakland
3/9/15 19:30,Reference,In Person,Undergrad,,Oakland
3/9/15 19:30,Service,In Person,Undergrad,,San Francisco
3/9/15 18:29,Service,In Person,Undergrad,,San Francisco
3/9/15 19:50,Service,In Person,,Archives Consultation,Oakland
3/10/15 8:15,Technical/Computing,In Person,Grad Student,Printing,Oakland
3/10/15 8:34,Service,In Person,Undergrad,,Oakland
3/10/15 9:05,Reference,Phone,Faculty,,Oakland
3/10/15 9:36,Directional,In Person,Faculty,,Oakland
3/10/15 10:06,Service,In Person,Grad Student,,San Francisco
3/10/15 11:00,Service,In Person,Undergrad,,San Francisco
3/10/15 11:05,Directional,In Person,Grad Student,,San Francisco
3/10/15 11:05,Service,Email,Faculty,,San Francisco
3/10/15 11:05,Service,Email,Grad Student,,San Francisco
3/10/15 11:54,Technical/Computing,Email,Faculty,VAULT,Online
3/10/15 12:36,Directional,In Person,Faculty,,Oakland
3/10/15 13:21,Service,In Person,Faculty,,San Francisco
3/10/15 14:26,Directional,In Person,Undergrad,,San Francisco
3/10/15 15:42,Directional,In Person,Faculty,,San Francisco
3/10/15 15:44,Service,In Person,Undergrad,,San Francisco
3/10/15 17:54,Service,In Person,Undergrad,,San Francisco
3/10/15 17:54,Service,In Person,Undergrad,,San Francisco
3/10/15 18:54,Directional,In Person,Undergrad,,San Francisco
3/11/15 8:30,Directional,Phone,Alumni,,Oakland
3/11/15 8:46,Directional,Email,Grad Student,,Online
3/11/15 10:04,Service,In Person,Grad Student,,San Francisco
3/11/15 10:54,Directional,In Person,Undergrad,,San Francisco
3/11/15 10:55,Technical/Computing,In Person,,Printing,San Francisco
3/11/15 11:10,Reference,Email,Akademie der Kí_nste staff,Archives Consultation,Oakland
3/11/15 11:27,Reference,Email,Undergrad,Archives Consultation,Oakland
3/11/15 12:14,Reference,In Person,Undergrad,,Oakland
3/11/15 15:24,Directional,In Person,Undergrad,,Oakland
3/8/15 15:30,Reference,In Person,Undergrad,,Oakland
3/11/15 16:35,Technical/Computing,In Person,Undergrad,,San Francisco
3/11/15 16:35,Technical/Computing,In Person,Undergrad,,San Francisco
3/11/15 18:28,Technical/Computing,In Person,,,Oakland
3/11/15 19:16,Reference,In Person,Undergrad,,San Francisco
3/11/15 21:57,Technical/Computing,In Person,,,Oakland
3/11/15 21:57,Technical/Computing,In Person,,,Oakland
3/12/15 8:16,Service,Email,Grad Student,,Online
3/12/15 11:21,Reference,Email,Undergrad,Archives Consultation,Oakland
3/12/15 11:25,Reference,Email,staff of Akademie der Kí_nste,Archives Consultation,Oakland
3/12/15 11:44,Service,Phone,Faculty,,San Francisco
3/12/15 11:44,Service,Email,Grad Student,,Online
3/12/15 14:45,Service,In Person,Undergrad,VAULT,Oakland
3/12/15 15:06,Service,In Person,Undergrad,,Oakland
3/12/15 15:44,Service,In Person,,,Oakland
3/12/15 17:47,Service,In Person,Undergrad,Printing,San Francisco
3/12/15 18:12,Service,In Person,Grad Student,,San Francisco
3/12/15 18:58,Technical/Computing,In Person,Undergrad,Printing,Oakland
3/12/15 21:21,Service,In Person,Undergrad,,Oakland
3/13/15 10:07,Service,Phone,,Archives Consultation,Oakland
3/13/15 12:44,Reference,In Person,Undergrad,,San Francisco
3/13/15 13:58,Service,In Person,Undergrad,Printing,San Francisco
3/13/15 14:10,Directional,In Person,,,Oakland
3/13/15 16:10,Directional,In Person,,,Oakland
3/13/15 17:15,Service,In Person,Grad Student,,San Francisco
3/13/15 17:15,Service,In Person,Undergrad,,San Francisco
3/15/15 14:36,Service,In Person,Grad Student,,San Francisco
3/15/15 15:20,Service,In Person,Grad Student,,San Francisco
3/15/15 16:01,Technical/Computing,In Person,Undergrad,,Oakland
3/15/15 16:41,Technical/Computing,In Person,,,Oakland
3/15/15 17:56,Service,In Person,Grad Student,,San Francisco
3/15/15 17:56,Service,In Person,Undergrad,,San Francisco
3/15/15 17:56,Service,In Person,Grad Student,,San Francisco
3/15/15 19:08,Service,Phone,,,Oakland
3/15/15 19:25,Directional,In Person,Undergrad,,Oakland
3/16/15 9:59,Service,In Person,Grad Student,,San Francisco
3/16/15 10:06,Technical/Computing,Phone,unknown; did not sound like student,,Oakland
3/16/15 10:27,Technical/Computing,In Person,Undergrad,,Oakland
3/16/15 11:11,Directional,Phone,unknown,,Oakland
3/16/15 11:54,Technical/Computing,In Person,Undergrad,,Oakland
3/16/15 12:24,Service,In Person,Undergrad,,San Francisco
3/16/15 12:56,Service,In Person,Undergrad,,San Francisco
3/16/15 13:45,Directional,In Person,Grad Student,,Oakland
3/16/15 15:32,Service,In Person,Undergrad,Printing,San Francisco
3/16/15 15:32,Directional,In Person,Undergrad,,San Francisco
3/16/15 15:33,Service,In Person,Undergrad,Printing,San Francisco
3/16/15 16:11,Technical/Computing,In Person,,,San Francisco
3/16/15 21:20,Technical/Computing,In Person,Undergrad,Printing,Oakland
3/16/15 22:44,Technical/Computing,In Person,Undergrad,Printing,Oakland
3/17/15 8:14,Service,Email,Faculty,,Online
3/17/15 8:15,Service,In Person,Faculty,,San Francisco
3/17/15 8:58,Service,In Person,Undergrad,,Oakland
3/17/15 10:14,Service,Phone,Grad Student,,San Francisco
3/17/15 11:50,Reference,Email,Grad Student,,Online
3/17/15 12:30,Technical/Computing,In Person,Undergrad,,San Francisco
3/17/15 12:31,Service,In Person,Undergrad,,San Francisco
3/17/15 15:14,Service,In Person,Faculty,,Oakland
3/17/15 15:14,Service,In Person,Staff,,Oakland
3/17/15 15:54,Directional,In Person,Grad Student,,San Francisco
3/17/15 10:30,Service,Phone,Grad Student,,San Francisco
3/17/15 15:56,Technical/Computing,In Person,Undergrad,Printing,San Francisco
3/17/15 15:57,Directional,In Person,Undergrad,Printing,San Francisco
3/17/15 16:03,Directional,In Person,Undergrad,,San Francisco
3/17/15 16:03,Directional,In Person,Undergrad,,San Francisco
3/17/15 16:07,Directional,In Person,Faculty,,San Francisco
3/17/15 16:26,Directional,In Person,Undergrad,,San Francisco
3/17/15 16:50,Directional,In Person,Undergrad,,San Francisco
3/17/15 18:22,Service,In Person,Undergrad,,San Francisco
3/17/15 18:39,Service,In Person,Grad Student,,San Francisco
3/17/15 19:10,Technical/Computing,In Person,Undergrad,Printing,Oakland
3/17/15 19:36,Service,In Person,Undergrad,,San Francisco
3/17/15 20:10,Service,In Person,,,Oakland
3/18/15 9:46,Directional,In Person,Grad Student,,San Francisco
3/18/15 10:26,Service,In Person,,Printing,San Francisco
3/18/15 10:28,Service,In Person,Grad Student,,San Francisco
3/18/15 10:31,Directional,In Person,Faculty,,San Francisco
3/18/15 10:37,Service,In Person,Faculty,,San Francisco
3/18/15 11:10,Reference,In Person,Undergrad,,Oakland
3/18/15 11:15,Reference,In Person,Undergrad,Archives Consultation,Oakland
3/18/15 11:39,Service,In Person,Grad Student,,San Francisco
3/18/15 11:58,Technical/Computing,In Person,Undergrad,Printing,Oakland
3/18/15 12:29,Service,In Person,Undergrad,Printing,San Francisco
3/18/15 13:33,Service,In Person,Undergrad,Printing,San Francisco
3/18/15 13:33,Directional,In Person,Undergrad,,San Francisco
3/18/15 13:36,Directional,In Person,Undergrad,,San Francisco
3/18/15 13:45,Directional,In Person,Staff,,San Francisco
3/18/15 13:51,Directional,Phone,?,,San Francisco
3/18/15 14:19,Service,In Person,Undergrad,,San Francisco
3/18/15 15:03,Directional,In Person,Undergrad,,Oakland
3/18/15 15:43,Directional,In Person,Undergrad,,San Francisco
3/18/15 15:54,Directional,In Person,Staff,,San Francisco
3/18/15 16:54,Service,In Person,Undergrad,,San Francisco
3/19/15 9:33,Directional,In Person,Undergrad,Printing,Oakland
3/19/15 10:53,Service,In Person,Undergrad,,San Francisco
3/19/15 9:00,Service,Phone,Grad Student,,San Francisco
3/19/15 10:30,Directional,In Person,Undergrad,,San Francisco
3/19/15 11:51,Service,In Person,,,Oakland
3/19/15 10:50,Directional,In Person,Undergrad,,San Francisco
3/19/15 11:05,Service,In Person,Undergrad,,San Francisco
3/19/15 12:04,Service,In Person,Grad Student,,San Francisco
3/19/15 12:58,Directional,In Person,Undergrad,,San Francisco
3/19/15 13:18,Service,In Person,Undergrad,,San Francisco
3/19/15 13:41,Service,Phone,Staff,VAULT,Oakland
3/19/15 14:44,Service,In Person,Undergrad,,San Francisco
3/19/15 16:18,Service,In Person,Undergrad,,San Francisco
3/19/15 16:27,Service,In Person,Faculty,Printing,Oakland
3/19/15 16:35,Directional,In Person,Alumni,,San Francisco
3/19/15 16:36,Service,In Person,Undergrad,Printing,San Francisco
3/19/15 17:07,Directional,In Person,Faculty,,San Francisco
3/19/15 17:18,Service,In Person,Grad Student,,Oakland
3/19/15 17:07,Directional,In Person,Staff,,San Francisco
3/19/15 12:04,Service,In Person,Undergrad,Printing,San Francisco
3/19/15 12:13,Service,In Person,Grad Student,Printing,San Francisco
3/19/15 17:20,Service,In Person,Faculty,Printing,San Francisco
3/19/15 17:33,Reference,Email,Staff,Archives Consultation,Oakland
3/19/15 18:52,Directional,In Person,Undergrad,,San Francisco
3/20/15 11:05,Service,In Person,Faculty,Printing,San Francisco
3/20/15 11:25,Service,In Person,Undergrad,,San Francisco
3/20/15 11:25,Service,In Person,Undergrad,Printing,San Francisco
3/20/15 11:37,Service,In Person,Grad Student,,San Francisco
3/20/15 11:57,Technical/Computing,In Person,Undergrad,Printing,San Francisco
3/20/15 13:16,Directional,In Person,Undergrad,,San Francisco
3/20/15 14:38,Reference,Email,Staff,Archives Consultation,Oakland
3/20/15 15:25,Service,In Person,,,Oakland
3/23/15 12:48,Service,Email,Staff,VAULT,Online
3/23/15 12:50,Service,In Person,Faculty,,San Francisco
3/23/15 15:25,Directional,In Person,Faculty,,San Francisco
3/23/15 15:25,Service,Phone,Faculty,,San Francisco
3/23/15 15:26,Service,In Person,Grad Student,Printing,San Francisco
3/23/15 16:55,Directional,In Person,Grad Student,,San Francisco
3/23/15 17:36,Service,Email,Staff,VAULT,Online
3/24/15 9:34,Directional,In Person,Grad Student,Printing,San Francisco
3/24/15 10:31,Technical/Computing,Email,Staff,VAULT,Online
3/24/15 13:53,Service,Phone,Grad Student,,San Francisco
3/24/15 15:30,Service,Email,Faculty,VAULT,Online
3/25/15 9:28,Technical/Computing,In Person,Faculty,,San Francisco
3/25/15 10:25,Service,Email,Faculty,VAULT,Online
3/25/15 10:26,Service,Email,Faculty,VAULT,Online
3/25/15 15:26,Technical/Computing,Email,Faculty,VAULT,Online
3/25/15 15:31,Reference,In Person,Undergrad,,Oakland
3/25/15 16:22,Reference,In Person,Undergrad,,Oakland
3/26/15 12:48,Technical/Computing,Email,Faculty,VAULT,Online
3/26/15 15:38,Directional,In Person,Undergrad,,San Francisco
3/26/15 16:27,Directional,In Person,Grad Student,,San Francisco
3/26/15 16:42,Service,Email,Faculty,VAULT,Online
3/26/15 16:42,Service,In Person,Grad Student,,San Francisco
3/26/15 17:36,Service,Email,Faculty,VAULT,Online
3/27/15 9:12,Service,Email,Faculty,VAULT,Online
3/27/15 9:51,Service,Email,Undergrad,VAULT,Online
3/27/15 11:28,Service,In Person,Undergrad,,San Francisco
3/27/15 12:00,Service,In Person,Grad Student,,San Francisco
3/27/15 12:47,Service,In Person,Undergrad,,San Francisco
3/29/15 14:31,Service,In Person,Undergrad,,San Francisco
3/29/15 15:14,Service,In Person,Undergrad,,San Francisco
3/29/15 21:23,Service,Email,Faculty,VAULT,Online
3/30/15 9:08,Service,In Person,Grad Student,,San Francisco
3/30/15 9:30,Service,Phone,Faculty,VAULT,Oakland
3/30/15 9:45,Service,Email,Faculty,VAULT,Online
3/30/15 10:06,Service,Phone,Faculty,VAULT,Oakland
3/30/15 10:08,Service,Email,Staff,VAULT,Online
3/30/15 10:15,Directional,Phone,copier repair man,,San Francisco
